"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,000;4,59
0,050;4,46
0,100;4,46
0,150;4,65
0,200;4,65
0,250;4,46
0,300;4,52
0,350;4,62
0,400;4,52
0,450;4,59
0,500;4,75
0,550;4,81
0,600;5,00
0,650;5,23
0,700;5,36
0,750;5,36
0,800;5,45
0,850;5,58
0,900;5,68
0,950;5,77
1,000;5,93
1,050;6,03
1,100;6,12
1,150;6,16
1,200;6,22
1,250;6,38
1,300;6,57
1,350;6,77
1,400;6,93
1,450;6,99
1,500;7,02
1,550;6,99
1,600;6,86
1,650;6,99
1,700;6,89
1,750;6,96
1,800;6,96
1,850;7,05
1,900;7,28
1,950;7,38
2,000;7,41
2,050;7,44
2,100;7,41
2,150;7,28
2,200;7,44
2,250;7,47
2,300;7,47
2,350;7,54
2,400;7,57
2,450;7,60
2,500;7,60
2,550;7,54
2,600;7,44
2,650;7,41
2,700;7,34
2,750;7,25
2,800;7,25
2,850;7,22
2,900;7,22
2,950;7,22
3,000;7,22
3,050;7,18
3,100;7,25
3,150;7,28
3,200;7,28
3,250;7,31
3,300;7,25
3,350;7,15
3,400;7,15
3,450;7,05
3,500;6,89
3,550;6,89
3,600;7,12
3,650;7,15
3,700;6,89
3,750;6,89
3,800;7,15
3,850;7,28
3,900;7,22
3,950;7,18
4,000;7,28
4,050;7,38
4,100;7,44
4,150;7,34
4,200;7,22
4,250;7,15
4,300;7,12
4,350;7,02
4,400;6,99
4,450;7,15
4,500;7,28
4,550;7,31
4,600;7,38
4,650;7,44
4,700;7,38
4,750;7,34
4,800;7,28
4,850;7,25
4,900;7,22
4,950;7,18
5,000;7,22
5,050;7,25
5,100;7,34
5,150;7,41
5,200;7,38
5,250;7,31
5,300;7,31
5,350;7,28
5,400;7,28
5,450;7,25
5,500;7,28
5,550;7,34
5,600;7,34
5,650;7,31
5,700;7,22
5,750;7,25
5,800;7,25
5,850;7,25
5,900;7,28
5,950;7,31
6,000;7,38
6,050;7,38
6,100;7,44
6,150;7,44
6,200;7,34
6,250;7,22
6,300;7,25
6,350;7,25
6,400;7,28
6,450;7,28
6,500;7,31
6,550;7,31
6,600;7,38
6,650;7,31
6,700;7,25
6,750;7,25
6,800;7,28
6,850;7,28
6,900;7,25
6,950;7,18
7,000;7,18
7,050;7,22
7,100;7,22
7,150;7,15
7,200;7,18
7,250;7,28
7,300;7,25
7,350;7,18
7,400;7,15
7,450;7,15
7,500;7,12
7,550;7,05
7,600;7,05
7,650;7,15
7,700;7,18
7,750;7,15
7,800;7,12
7,850;7,15
7,900;7,18
7,950;7,15
8,000;7,15
8,050;7,22
8,100;7,25
8,150;7,22
8,200;7,22
8,250;7,15
8,300;7,12
8,350;7,05
8,400;7,02
8,450;7,02
8,500;7,05
8,550;7,09
8,600;7,22
8,650;7,31
8,700;7,34
8,750;7,31
8,800;7,31
8,850;7,38
8,900;7,38
8,950;7,38
9,000;7,44
9,050;7,44
9,100;7,50
9,150;7,50
9,200;7,44
9,250;7,44
9,300;7,44
9,350;7,41
9,400;7,38
9,450;7,34
9,500;7,38
9,550;7,34
9,600;7,28
9,650;7,28
9,700;7,31
9,750;7,28
9,800;7,22
9,850;7,28
9,900;7,34
9,950;7,41
10,000;7,54
10,050;7,54
10,100;7,50
10,150;7,47
10,200;7,38
10,250;7,18
10,300;7,15
10,350;7,09
10,400;7,02
10,450;7,02
10,500;6,99
10,550;7,12
10,600;7,15
10,650;7,15
10,700;7,15
10,750;7,25
10,800;7,25
10,850;7,12
10,900;7,12
10,950;7,22
11,000;7,25
11,050;7,18
11,100;7,18
11,150;7,22
11,200;7,22
11,250;7,09
11,300;7,09
11,350;7,18
11,400;7,18
11,450;7,18
11,500;7,22
11,550;7,25
11,600;7,31
11,650;7,31
11,700;7,34
11,750;7,34
11,800;7,41
11,850;7,47
11,900;7,57
11,950;7,73
12,000;8,02
12,050;8,27
12,100;8,53
12,150;8,69
12,200;8,88
12,250;9,01
12,300;9,14
12,350;9,27
12,400;9,52
12,450;9,91
12,500;10,36
12,550;10,68
12,600;11,03
12,650;11,19
12,700;11,42
12,750;11,54
12,800;11,70
12,850;11,80
12,900;11,96
12,950;12,06
13,000;12,31
13,050;12,38
13,100;12,47
13,150;12,73
13,200;12,89
13,250;12,99
13,300;13,12
13,350;13,12
13,400;13,18
