Tiempo (s) Serie Nº 1,N1,N2,N3,N4,N5,d.std,prom,error,,,
0,5.55,4.35,4.44,4.45,4.37,0.514995146,4.632,0.230312831,,,
0.01,5.91,4.33,4.43,4.41,4.39,0.680793654,4.694,0.304460178,,,
0.02,6.24,4.37,4.41,4.36,4.38,0.832027644,4.752,0.372094074,,,
0.03,6.52,4.34,4.35,4.4,4.39,0.961847181,4.8,0.430151136,,,
0.04,7.06,4.34,4.34,4.42,4.39,1.202372654,4.91,0.537717398,,,
0.05,7.44,4.38,4.37,4.42,4.4,1.363018709,5.002,0.609560497,,,
0.06,7.69,4.39,4.39,4.4,4.39,1.474693188,5.052,0.659502843,,,
0.07,7.96,4.39,4.4,4.4,4.42,1.590999686,5.114,0.71151669,,,
0.08,7.95,4.42,4.45,4.38,4.36,1.586874286,5.112,0.709671755,,,
0.09,8.04,4.41,4.42,4.42,4.43,1.618928658,5.144,0.724006906,,,
0.1,8.05,4.42,4.44,4.39,4.38,1.629150085,5.136,0.728578067,,,
0.11,7.93,4.42,4.43,4.39,4.39,1.575411057,5.112,0.704545243,,,
0.12,8,4.42,4.43,4.37,4.4,1.607896141,5.124,0.719073014,,,
0.13,7.73,4.41,4.39,4.39,4.4,1.490362372,5.064,0.666510315,,,
0.14,7.44,4.41,4.39,4.41,4.38,1.360709374,5.006,0.608527731,,,
0.15,7.25,4.45,4.35,4.4,4.4,1.275049019,4.97,0.570219256,,,
0.16,6.88,4.45,4.37,4.42,4.39,1.106150984,4.902,0.494685759,,,
0.17,6.7,4.46,4.37,4.43,4.39,1.0235966,4.87,0.457766316,,,
0.18,6.43,4.44,4.39,4.43,4.41,0.900222195,4.82,0.402591604,,,
0.19,6.42,4.45,4.43,4.4,4.42,0.89237324,4.824,0.399081445,,,
0.2,6.43,4.43,4.42,4.43,4.44,0.894455141,4.83,0.4000125,,,
0.21,6.16,4.44,4.44,4.39,4.41,0.778440749,4.768,0.348129286,,,
0.22,5.98,4.4,4.43,4.45,4.41,0.696799828,4.734,0.311618356,,,
0.23,6.16,4.42,4.38,4.4,4.38,0.789506175,4.748,0.353077895,,,
0.24,5.94,4.41,4.36,4.44,4.39,0.689325758,4.708,0.30827585,,,
0.25,5.83,4.4,4.41,4.43,4.39,0.636333246,4.692,0.284576879,,,
0.26,6.31,4.38,4.42,4.39,4.38,0.857688755,4.776,0.383570072,,,
0.27,5.99,4.4,4.38,4.39,4.36,0.719047982,4.704,0.321568033,,,
0.28,6.02,4.43,4.37,4.39,4.4,0.725926994,4.722,0.324644421,,,
0.29,6.27,4.42,4.39,4.39,4.41,0.835272411,4.776,0.373545178,,,
0.3,5.43,4.43,4.39,4.39,4.39,0.460955529,4.606,0.20614558,,,
0.31,5.82,4.43,4.42,4.4,4.41,0.628434563,4.696,0.28104448,,,
0.32,5.71,4.43,4.41,4.4,4.43,0.578169525,4.676,0.258565272,,,
0.33,5.14,4.44,4.39,4.4,4.39,0.32934784,4.552,0.147288832,,,
0.34,6.04,4.48,4.41,4.42,4.42,0.71943033,4.754,0.321739025,,42,222
0.35,4.88,4.46,4.41,4.41,4.43,0.203396165,4.518,0.09096153,,prom,4.332530387
0.36,5.36,4.49,4.41,4.41,4.39,0.419904751,4.612,0.187787114,,,
0.37,5.15,4.45,4.4,4.43,4.4,0.327154398,4.566,0.146307895,,,
0.38,4.48,4.47,4.39,4.4,4.41,0.041833001,4.43,0.018708287,,,
0.39,5.16,4.46,4.43,4.4,4.42,0.328298645,4.574,0.146819617,,,
0.4,3.67,4.48,4.36,4.4,4.45,0.339661596,4.272,0.151901284,,,
0.41,4.92,4.44,4.41,4.4,4.41,0.226340452,4.516,0.101222527,,,
0.42,3,4.41,4.4,4.39,4.45,0.632099676,4.13,0.282683569,,,
0.43,4.85,4.38,4.42,4.39,4.41,0.201866292,4.49,0.09027735,,,
0.44,3.69,4.4,4.39,4.4,4.4,0.316433247,4.256,0.14151325,,,
0.45,3.43,4.34,4.41,4.39,4.41,0.429161974,4.196,0.191927069,,,
0.46,4.71,4.35,4.43,4.41,4.42,0.140996454,4.464,0.063055531,,,
0.47,2.5,4.39,4.44,4.38,4.45,0.856953908,4.032,0.383241438,,,
0.48,4.93,4.35,4.42,4.41,4.48,0.23488295,4.518,0.105042848,,,
0.49,2.47,4.38,4.39,4.42,4.52,0.877171591,4.036,0.392283061,,,
0.5,4.22,4.38,4.39,4.44,4.58,0.129305839,4.402,0.057827329,,,
0.51,3.45,4.39,4.4,4.42,4.64,0.464381309,4.26,0.207677635,,,
0.52,3.35,4.41,4.39,4.42,4.71,0.523335456,4.256,0.234042731,,,
0.53,4.27,4.4,4.51,4.44,4.8,0.197053292,4.484,0.088124911,,,
0.54,2.97,4.39,4.51,4.43,4.94,0.747341957,4.248,0.334221483,,,
0.55,4.25,4.39,4.57,4.42,5.04,0.304844223,4.534,0.136330481,,,
0.56,3.26,4.37,4.53,4.41,5.29,0.725548069,4.372,0.324474961,,,
0.57,4.02,4.39,4.66,4.41,5.49,0.550481607,4.594,0.246182859,,,
0.58,3.42,4.35,4.76,4.4,5.76,0.843634992,4.538,0.377285038,,,
0.59,4.14,4.39,4.82,4.38,5.94,0.717342317,4.734,0.320805237,,,
0.6,3.54,4.38,5.03,4.4,6.17,0.975669001,4.704,0.436332442,,,
0.61,4.16,4.4,5.23,4.4,6.4,0.922615846,4.918,0.41260635,,,
0.62,3.4,4.43,5.54,4.41,6.61,1.229052481,4.878,0.549648979,,,
0.63,4,4.39,5.91,4.39,6.75,1.182801759,5.088,0.528965027,,,
0.64,3.84,4.42,6.18,4.44,6.87,1.301191761,5.15,0.581910646,,,
0.65,4.04,4.41,6.5,4.43,6.96,1.353428979,5.268,0.60527184,,,
0.66,4.18,4.41,6.78,4.42,7.06,1.421653966,5.37,0.635782982,,,
0.67,4.35,4.42,6.99,4.44,7.04,1.430968204,5.448,0.639948435,,,
0.68,4.11,4.39,7.15,4.44,7.07,1.537211762,5.432,0.687461999,,,
0.69,4.33,4.43,7.3,4.41,6.97,1.508482681,5.488,0.674613964,,,
0.7,3.77,4.44,7.38,4.41,6.8,1.614852934,5.36,0.722184187,,,
0.71,4.29,4.44,7.39,4.42,6.77,1.494312551,5.462,0.668276889,,,
0.72,4.11,4.43,7.26,4.44,6.6,1.450954858,5.368,0.648886739,,,
0.73,4.15,4.42,7.21,4.46,6.55,1.413884719,5.358,0.632308469,,,
0.74,4.5,4.44,6.95,4.49,6.43,1.226364546,5.362,0.548446898,,,
0.75,3.9,4.41,6.87,4.54,6.35,1.309591539,5.214,0.585667141,,,
0.76,4.08,4.39,6.8,4.6,6.32,1.232647557,5.238,0.551256746,,,
0.77,3.85,4.37,6.64,4.64,6.21,1.214689261,5.142,0.543225552,,,
0.78,4,4.37,6.58,4.77,6.08,1.116310889,5.16,0.499229406,,,
0.79,3.55,4.37,6.5,4.89,5.95,1.188536916,5.052,0.531529867,,,
0.8,3.96,4.37,6.4,5.09,5.86,1.011647172,5.136,0.452422369,,,
0.81,3.38,4.36,6.31,5.22,5.75,1.157683031,5.004,0.517731591,,,
0.82,3.28,4.41,6.32,5.43,5.56,1.177645957,5,0.526659283,,,
0.83,3.8,4.41,6.28,5.62,5.41,0.990570543,5.104,0.442996614,,,
0.84,3.5,4.45,6.28,5.86,5.31,1.117430087,5.08,0.499729927,,,
0.85,3.51,4.45,6.14,6.1,5.25,1.124077399,5.09,0.502702695,,,
0.86,3.72,4.47,6.16,6.31,5.22,1.103915758,5.176,0.493686135,,,
0.87,3.31,4.48,5.99,6.47,5.06,1.250187986,5.062,0.559101064,,,
0.88,3.29,4.5,5.94,6.64,5.06,1.295561654,5.086,0.579392786,,,
0.89,3.29,4.48,5.95,6.72,4.94,1.325718673,5.076,0.592879414,,,
0.9,2.87,4.48,5.93,6.81,4.89,1.496689681,4.996,0.669339973,,,
0.91,3.28,4.44,5.89,6.82,4.83,1.359400603,5.052,0.607942431,,,
0.92,2.86,4.47,5.77,6.86,4.79,1.495376207,4.95,0.66875257,,,
0.93,2.86,4.42,5.62,6.9,4.76,1.494095044,4.912,0.668179617,,,
0.94,2.64,4.46,5.5,6.94,4.8,1.567456538,4.868,0.700987874,,,
0.95,2.19,4.45,5.33,6.96,4.76,1.722170143,4.738,0.770177902,,,
0.96,2.08,4.44,5.34,6.92,4.84,1.752620895,4.724,0.783795892,,,
0.97,2.09,4.42,5.21,6.95,4.76,1.747549713,4.686,0.781527991,,,
0.98,2,4.43,5.18,6.91,4.81,1.766615408,4.666,0.790054429,,,
0.99,1.47,4.46,5.1,6.84,4.7,1.94017525,4.514,0.867672749,,,
1,1.56,4.51,4.99,6.85,4.62,1.898717989,4.506,0.849132498,,,
1.01,1.63,4.51,4.87,6.67,4.52,1.80729079,4.44,0.808245012,,,
1.02,1.47,4.62,4.72,6.54,4.44,1.824012061,4.358,0.815722992,,,
1.03,1.54,4.62,4.58,6.4,4.42,1.748004577,4.312,0.781731412,,,
1.04,1.27,4.7,4.49,6.29,4.31,1.823354052,4.212,0.815428722,,,
1.05,1.57,4.76,4.31,6.2,4.29,1.676851216,4.226,0.749910661,,,
1.06,1.36,4.8,4.1,5.98,4.25,1.699594069,4.098,0.760081575,,,
1.07,1.3,4.89,4.11,5.93,4.24,1.71992151,4.094,0.769172282,,,
1.08,1.42,4.92,4.12,5.87,4.13,1.657458898,4.092,0.741238153,,,
1.09,1.5,5,4.06,5.67,4.13,1.583783445,4.072,0.708289489,,,
1.1,1.75,5.07,3.99,5.6,3.98,1.477961434,4.078,0.660964447,,,
1.11,1.98,5.14,4.04,5.41,3.93,1.353199911,4.1,0.605169398,,,
1.12,2.66,5.32,3.9,5.3,3.86,1.122639746,4.208,0.502059757,,,
1.13,3.03,5.38,3.9,5.29,3.87,1.01293139,4.294,0.452996689,,,
1.14,3.57,5.57,4.04,5.16,3.9,0.866527553,4.448,0.387522903,,,
1.15,3.56,5.63,4.01,5.11,3.77,0.904201305,4.416,0.404371117,,,
1.16,4.16,5.82,4.08,4.95,3.79,0.825075754,4.56,0.368985095,,,
1.17,3.67,5.95,4.02,4.93,3.65,0.989130932,4.444,0.4423528,,,
1.18,4.32,6.04,4.08,4.82,3.82,0.877200091,4.616,0.392295807,,,
1.19,4.34,6.26,4.05,4.81,3.62,1.015987205,4.616,0.454363291,,,
1.2,4.71,6.38,3.9,4.76,3.73,1.049633269,4.696,0.469410268,,,
1.21,4.69,6.52,3.75,4.73,3.76,1.129048272,4.69,0.504925737,,,
1.22,5.18,6.64,3.7,4.74,3.68,1.224467231,4.788,0.547598393,,,
1.23,5.2,6.65,3.67,4.68,3.79,1.213865726,4.798,0.542857256,,,
1.24,5.2,6.61,3.5,4.59,3.77,1.245925359,4.734,0.557194759,,,
1.25,5.16,6.64,3.47,4.59,3.87,1.242831445,4.746,0.555811119,,,
1.26,4.95,6.59,3.36,4.41,3.85,1.246362708,4.632,0.557390348,,,
1.27,5.21,6.61,3.27,4.45,3.85,1.297659431,4.678,0.58033094,,,
1.28,5.63,6.64,3.15,4.35,3.88,1.3983383,4.73,0.625355899,,,
1.29,4.79,6.63,3,4.22,3.86,1.356373842,4.5,0.606588823,,,
1.3,5.98,6.62,2.95,4.2,3.87,1.526705604,4.724,0.682763502,,,
1.31,4.89,6.57,2.89,4.17,4.01,1.358116343,4.506,0.607368093,,,
1.32,5.34,6.5,2.84,4.08,4,1.403039558,4.552,0.627458365,,,
1.33,5.13,6.37,2.86,4.02,4.08,1.32191906,4.492,0.591180176,,,
1.34,5.15,6.37,2.82,3.95,4.06,1.344749047,4.47,0.601390056,,,
1.35,5.14,6.24,2.87,3.94,4.15,1.277211807,4.468,0.571186484,,,
1.36,4.69,6.33,2.87,3.72,4.08,1.29378128,4.338,0.578596578,,,
1.37,4.76,6.23,2.95,3.77,4.14,1.228922292,4.37,0.549590757,,,
1.38,4.48,6.26,3,3.66,4.13,1.224981633,4.306,0.54782844,,,
1.39,4.32,6.22,3.03,3.68,4.17,1.193704318,4.284,0.5338408,,,
1.4,4.37,6.25,3.03,3.69,4.09,1.207841049,4.286,0.540162938,,,
1.41,4.08,6.23,3.09,3.6,4.13,1.196758121,4.226,0.535206502,,,
1.42,4.19,6.25,3.19,3.73,4.07,1.164422604,4.286,0.520745619,,,
1.43,4.05,6.27,3.27,3.48,4.02,1.195980769,4.218,0.53485886,,,
1.44,4.2,6.22,3.39,3.69,3.93,1.121663943,4.286,0.501623365,,,
1.45,4.33,6.17,3.55,3.52,3.87,1.101462664,4.288,0.492589078,,,
1.46,4.39,6.09,3.66,3.48,3.81,1.064579729,4.286,0.476094528,,,
1.47,4.75,6.11,3.88,3.47,3.74,1.074360275,4.39,0.480468521,,,
1.48,4.61,5.98,4.04,3.42,3.69,1.015022167,4.348,0.453931713,,,
1.49,5,5.88,3.92,3.52,3.62,1.020156851,4.388,0.456228013,,,
1.5,4.68,5.72,3.97,3.52,3.63,0.911992325,4.304,0.407855367,,,
1.51,4.84,5.62,4.04,3.67,3.51,0.882626761,4.336,0.394722687,,,
1.52,4.43,5.43,4.11,3.69,3.49,0.763806258,4.23,0.341584543,,,
1.53,4.37,5.24,4.05,3.67,3.42,0.708837076,4.15,0.317001577,,,
1.54,4.16,5.05,4.16,3.65,3.43,0.624619884,4.09,0.279338504,,,
1.55,4.11,4.83,4.18,3.61,3.38,0.562912071,4.022,0.251741931,,,
1.56,-,4.76,4.24,3.58,3.3,0.657774024,3.97,0.294165486,,,
1.57,-,4.72,4.2,3.57,3.3,0.63829852,3.9475,0.285455776,,,
1.58,-,4.61,4.22,3.44,3.25,0.642650761,3.88,0.287402157,,,
1.59,-,4.55,4.26,3.51,3.29,0.598964384,3.9025,0.267865016,,,
1.6,-,4.47,4.23,3.4,3.33,0.577775908,3.8575,0.258389241,,,
1.61,-,4.49,4.22,3.35,3.38,0.582237065,3.86,0.260384331,,,
1.62,-,4.32,4.13,3.32,3.38,0.511688382,3.7875,0.228834001,,,
1.63,-,4.18,4.26,3.27,3.38,0.519703441,3.7725,0.232418444,,,
1.64,-,4.06,3.9,3.36,3.4,0.352892807,3.68,0.157818461,,,
