"Tiempo (s) Serie Nº 1","Vector velocidad (m/s) Serie Nº 1","Vector velocidad (m/s) Serie Nº 2","Vector velocidad (m/s) Serie Nº 3","Vector velocidad (m/s) Serie Nº 4","Vector velocidad (m/s) Serie Nº 5"
0.000,-,-,-,-,-
0.010,-,-,-,-,-
0.020,-,-,-,-,-
0.030,-,-,-,-,-
0.040,-,-,-,-,-
0.050,-,-,-,-,-
0.060,-,-,-,-,-
0.070,-,-,-,-,-
0.080,-,-,-,-,-
0.090,-,-,-,-,-
0.100,1.574,-0.013,0.000,0.004,0.000
0.110,-,-,-,-,-
0.120,-,-,-,-,-
0.130,-,-,-,-,-
0.140,-,-,-,-,-
0.150,2.038,-0.012,0.000,0.001,0.001
0.160,-,-,-,-,-
0.170,-,-,-,-,-
0.180,-,-,-,-,-
0.190,-,-,-,-,-
0.200,1.587,-0.010,0.000,0.000,0.003
0.210,-,-,-,-,-
0.220,-,-,-,-,-
0.230,-,-,-,-,-
0.240,-,-,-,-,-
0.250,0.695,-0.007,0.000,0.000,0.003
0.260,-,-,-,-,-
0.270,-,-,-,-,-
0.280,-,-,-,-,-
0.290,-,-,-,-,-
0.300,0.074,-0.006,0.000,0.000,0.001
0.310,-,-,-,-,-
0.320,-,-,-,-,-
0.330,-,-,-,-,-
0.340,-,-,-,-,-
0.350,0.000,-0.004,0.000,0.000,0.000
0.360,-,-,-,-,-
0.370,-,-,-,-,-
0.380,-,-,-,-,-
0.390,-,-,-,-,-
0.400,0.000,-0.003,0.000,0.000,0.001
0.410,-,-,-,-,-
0.420,-,-,-,-,-
0.430,-,-,-,-,-
0.440,-,-,-,-,-
0.450,0.000,-0.001,0.000,0.000,0.006
0.460,-,-,-,-,-
0.470,-,-,-,-,-
0.480,-,-,-,-,-
0.490,-,-,-,-,-
0.500,0.000,0.000,0.003,-0.001,0.016
0.510,-,-,-,-,-
0.520,-,-,-,-,-
0.530,-,-,-,-,-
0.540,-,-,-,-,-
0.550,0.000,-0.001,0.013,-0.003,0.047
0.560,-,-,-,-,-
0.570,-,-,-,-,-
0.580,-,-,-,-,-
0.590,-,-,-,-,-
0.600,0.000,-0.003,0.047,-0.003,0.116
0.610,-,-,-,-,-
0.620,-,-,-,-,-
0.630,-,-,-,-,-
0.640,-,-,-,-,-
0.650,0.000,-0.004,0.124,0.000,0.238
0.660,-,-,-,-,-
0.670,-,-,-,-,-
0.680,-,-,-,-,-
0.690,-,-,-,-,-
0.700,0.000,-0.006,0.257,0.004,0.407
0.710,-,-,-,-,-
0.720,-,-,-,-,-
0.730,-,-,-,-,-
0.740,-,-,-,-,-
0.750,0.000,-0.006,0.442,0.013,0.599
0.760,-,-,-,-,-
0.770,-,-,-,-,-
0.780,-,-,-,-,-
0.790,-,-,-,-,-
0.800,0.000,-0.006,0.648,0.039,0.782
0.810,-,-,-,-,-
0.820,-,-,-,-,-
0.830,-,-,-,-,-
0.840,-,-,-,-,-
0.850,0.000,-0.004,0.849,0.103,0.930
0.860,-,-,-,-,-
0.870,-,-,-,-,-
0.880,-,-,-,-,-
0.890,-,-,-,-,-
0.900,0.496,-0.001,1.023,0.220,1.035
0.910,-,-,-,-,-
0.920,-,-,-,-,-
0.930,-,-,-,-,-
0.940,-,-,-,-,-
0.950,1.468,0.003,1.164,0.385,1.103
0.960,-,-,-,-,-
0.970,-,-,-,-,-
0.980,-,-,-,-,-
0.990,-,-,-,-,-
1.000,2.226,0.010,1.269,0.581,1.144
1.010,-,-,-,-,-
1.020,-,-,-,-,-
1.030,-,-,-,-,-
1.040,-,-,-,-,-
1.050,2.106,0.025,1.332,0.779,1.162
1.060,-,-,-,-,-
1.070,-,-,-,-,-
1.080,-,-,-,-,-
1.090,-,-,-,-,-
1.100,1.166,0.057,1.353,0.952,1.159
1.110,-,-,-,-,-
1.120,-,-,-,-,-
1.130,-,-,-,-,-
1.140,-,-,-,-,-
1.150,0.211,0.118,1.343,1.083,1.135
1.160,-,-,-,-,-
1.170,-,-,-,-,-
1.180,-,-,-,-,-
1.190,-,-,-,-,-
1.200,-0.424,0.220,1.310,1.169,1.093
1.210,-,-,-,-,-
1.220,-,-,-,-,-
1.230,-,-,-,-,-
1.240,-,-,-,-,-
1.250,-0.660,0.365,1.256,1.218,1.038
1.260,-,-,-,-,-
1.270,-,-,-,-,-
1.280,-,-,-,-,-
1.290,-,-,-,-,-
1.300,-0.565,0.539,1.175,1.239,0.981
1.310,-,-,-,-,-
1.320,-,-,-,-,-
1.330,-,-,-,-,-
1.340,-,-,-,-,-
1.350,-0.330,0.722,1.066,1.231,0.930
1.360,-,-,-,-,-
1.370,-,-,-,-,-
1.380,-,-,-,-,-
1.390,-,-,-,-,-
1.400,-0.124,0.901,0.941,1.196,0.887
1.410,-,-,-,-,-
1.420,-,-,-,-,-
1.430,-,-,-,-,-
1.440,-,-,-,-,-
1.450,-0.022,1.073,0.818,1.138,0.845
1.460,-,-,-,-,-
1.470,-,-,-,-,-
1.480,-,-,-,-,-
1.490,-,-,-,-,-
1.500,0.003,1.227,0.718,1.067,0.794
1.510,-,-,-,-,-
1.520,-,-,-,-,-
1.530,-,-,-,-,-
1.540,-,-,-,-,-
1.550,0.004,1.348,0.647,0.989,0.725
1.560,-,-,-,-,-
1.570,-,-,-,-,-
1.580,-,-,-,-,-
1.590,-,-,-,-,-
1.600,-,1.425,0.602,0.906,0.638
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,1.454,0.570,0.817,0.544
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,1.438,0.538,0.722,0.454
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,1.385,0.503,0.628,0.379
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,1.310,0.470,0.545,0.330
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,1.224,0.442,0.484,0.307
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,1.130,0.420,0.445,0.302
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,1.018,0.397,0.422,0.308
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,0.879,0.355,0.406,0.314
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,0.718,0.275,0.390,0.307
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,0.555,0.157,0.366,0.278
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,0.416,0.033,0.333,0.227
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,0.314,-0.061,0.295,0.167
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,0.249,-0.110,0.259,0.112
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,0.206,-0.131,0.230,0.070
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,0.176,-,0.209,0.045
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,0.148,-,0.195,0.031
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,0.119,-,0.182,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,0.087,-,0.160,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,0.126,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,0.087,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,0.054,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,0.035,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,0.026,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,0.022,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
