Tiempo (s) Serie Nº 1,Ángulo (rad),N2,N3,N4,N5,V. Vel. Angular (rad/s),N2,N3,N4,N5,Ac. angular (rad/s²),N2,N3,N4,N5,Pos. (m),N2,N3,N4,N5,V. Vel (m/s),N2,N3,N4,N5,Ac. (m/s²),N2,N3,N4,N5,Fuerza (N),N2,N3,N44,N5
0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.57,4.47,4.47,4.45
0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.47,4.51,4.48,4.45,4.5
0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.53,4.46,4.43,4.47
0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.5,4.45,4.45,4.49
0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.53,4.43,4.46,4.46
0.05,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,4.47,4.51,4.44,4.41,4.46
0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.49,4.43,4.45,4.47
0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.49,4.43,4.45,4.5
0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.46,4.47,4.42,4.45,4.49
0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.45,4.47,4.44,4.47
0.1,0,0,0,0,-0.017,-0.175,0.175,0,-0.175,-0.349,-,-,-,-,-,0,0,0,0,-4.36E-04,-0.004,0,0.004,-0.004,-0.009,-,-,-,-,-,4.47,4.44,4.48,4.45,4.47
0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.52,4.42,4.47,4.47,4.47
0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.46,4.48,4.48,4.49
0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.44,4.47,4.46,4.51
0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.51,4.46,4.5,4.46,4.5
0.15,-0.017,0.017,0,-0.017,-0.035,-0.175,0,-0.116,-0.116,-0.175,-,-,-,-,-,-4.36E-04,4.36E-04,0,-4.36E-04,-8.72E-04,-0.004,-0.003,0,-0.003,-0.004,-,-,-,-,-,4.52,4.48,4.49,4.46,4.48
0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.51,4.48,4.5,4.49,4.48
0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.53,4.5,4.51,4.51,4.43
0.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.56,4.48,4.54,4.48,4.45
0.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.55,4.48,4.54,4.48,4.45
